Theme;Answer
Что такое бенчмарки и как их используют инвесторы;В отличие от инвестор, которые постоянно несут инвестиционные расходы, бенчмарки показывают чистый рост. Поэтому прямое сравнение портфеля и бенчмарка не всегда показывает объективные результаты.
Гонконгские акции в России;Гонконгская фондовая биржа является крупнейшей в Азии и одной из крупнейших в мире, предоставляет широкий спектр инструментов для инвесторов и является важным финансовым институтом мировой экономики, который дает прямой доступ к быстро развивающейся экономике Китая.
Гонконгские акции в России;На СПБ Бирже инвесторам доступны гонконгские ценные бумаги. Конечным депозитарием выступает The CCASS Depository в Гонконге, что обеспечивает более низкие инфраструктурные риски для инвесторов, чем акции из США и Европы.
Гонконгские акции в России;Гонконгский доллар имеет преимущества для инвесторов, так как инфраструктурные риски минимальны, а курс привязан к курсу доллара США.
Гонконгские акции в России;Гербовый сбор — это налог в размере 0,13%, взимаемый правительством Гонконга при покупке или продаже акций на бирже и других сделках. Это один из главных источников дохода для государственного бюджета Гонконга.
Гонконгские акции в России;Инвестирование в Китай может быть привлекательным благодаря крупной и быстрорастущей экономике, лидирующим позициям в науке и технологиях, разнообразному внутреннему рынку. Это доступный способ диверсифицировать валютные вложения с минимальными инфраструктурными рисками.
Гонконгские акции в России;Гонконгская фондовая биржа является крупнейшей в Азии и одной из крупнейших в мире, предоставляет широкий спектр инструментов для инвесторов и является важным финансовым институтом мировой экономики, который дает прямой доступ к быстро развивающейся экономике Китая.
Гонконгские акции в России;На СПБ Бирже инвесторам доступны гонконгские ценные бумаги. Конечным депозитарием выступает The CCASS Depository в Гонконге, что обеспечивает более низкие инфраструктурные риски для инвесторов, чем акции из США и Европы.
Гонконгские акции в России;Гонконгский доллар имеет преимущества для инвесторов, так как инфраструктурные риски минимальны, а курс привязан к курсу доллара США.
Гонконгские акции в России;Гербовый сбор — это налог в размере 0,13%, взимаемый правительством Гонконга при покупке или продаже акций на бирже и других сделках. Это один из главных источников дохода для государственного бюджета Гонконга.
Гонконгские акции в России;Инвестирование в Китай может быть привлекательным благодаря крупной и быстрорастущей экономике, лидирующим позициям в науке и технологиях, разнообразному внутреннему рынку. Это доступный способ диверсифицировать валютные вложения с минимальными инфраструктурными рисками.
Что такое ADR и GDR: какую роль на бирже выполняют депозитарные расписки;Депозитарные расписки — это специальные финансовые инструменты на фондовом рынке, которые подтверждают право на акции иностранных компаний. Депозитарные расписки позволяют компаниям выйти на другие рынки, а инвесторам — вложиться в иностранные ценные бумаги.
Что такое ADR и GDR: какую роль на бирже выполняют депозитарные расписки;ADR и GDR — это два наиболее распространенных вида депозитарных расписок. ADR выпускают компании, которые выходят на биржи США. GDR можно выпускать в любой стране.
Что такое ADR и GDR: какую роль на бирже выполняют депозитарные расписки;Депозитарные расписки отличаются от акций по нескольким пунктам: номиналу, размеру налогов, ликвидности и ценам на фондовом рынке.
Что такое ADR и GDR: какую роль на бирже выполняют депозитарные расписки;ADR и GDR позволяют компаниям выйти на ведущие фондовые рынки, открываться для новых инвесторов и поэтому привлекать больше инвестиций.
Что такое ADR и GDR: какую роль на бирже выполняют депозитарные расписки;Инвесторы могут использовать депозитарные расписки, чтобы вложиться в компании, которые недоступны на местном рынке, или зарабатывать на разнице в стоимости ADR или GDR и акций.
Когда покупать дивидендные акции и что делать после этого;Дивиденды — это часть прибыли компании, которую она с разной периодичностью может выплачивать своим акционерам. Размер дивидендов рекомендует совет директоров, а решение принимается общим собранием акционеров.
Когда покупать дивидендные акции и что делать после этого;Чтобы получить дивиденды, акции надо приобрести минимум за один или два рабочих день до дивидендной отсечки или раньше, в зависимости от того, российская акция или иностранная. В этом случае инвестор попадает в реестр акционеров.
Когда покупать дивидендные акции и что делать после этого;На размер и периодичность дивидендных выплат влияет дивидендная политика компании. Она может меняться в зависимости от ситуации на рынке или внутри бизнеса.
Когда покупать дивидендные акции и что делать после этого;Отсечка — это конкретная дата, когда компания формирует реестр акционеров. Для попадания в реестр надо купить акции как минимум за один рабочий день до отсечки. Падение стоимости акций в период отсечки называют дивидендным гэпом.
Когда покупать дивидендные акции и что делать после этого;Приблизительно в течение одного месяца до отсечки цена акций может расти. После отсечки котировки падают приблизительно на размер выплаченных дивидендов, но затем могут восстановиться — закрыть дивидендный гэп.
Что такое условные заявки и в каких случаях их используют;Стоп-маркет и стоп-лимит — это заявки, которые позволяют быстро продать акции, если их стоимость упадет ниже определенного уровня. Они помогают инвесторам снизить риски при падении стоимости активов.
Что такое условные заявки и в каких случаях их используют;Тейк-профит — это заявка брокеру продать акции, если они достигнут конкретной стоимости. В случае с тейк-профитом инвестор фиксирует не размер убытков, а объем прибыли.
Что такое условные заявки и в каких случаях их используют;Спред и отступ — это специальные инструменты, которые инвесторы могут использовать вместе с ордером тейк-профит. Они помогают ограничивать убытки и выгодно продавать акции.
Что такое условные заявки и в каких случаях их используют;Стоп-маркет и тейк-профит можно выставлять одновременно. Такая стратегия позволяет инвестору спланировать, сколько он может заработать и сколько потерять от операции с конкретной ценной бумагой.
Что такое инвестиционный портфель;Инвестиционный портфель — это совокупность диверсифицированных активов для пассивного инвестирования.
Что такое инвестиционный портфель;Он нужен для того, чтобы инвестировать системно, по определенной стратегии и не уделяя процессу много времени.
Что такое инвестиционный портфель;В инвестиционном портфеле могут быть любые инструменты фондового рынка: акции, облигации, валюта, металлы и фонды.
Что такое инвестиционный портфель;Нет идеальной стратегии портфельного инвестирования, но можно выбрать что-то из популярных, комбинируя соотношение рисковых и защитных активов.
Что такое инвестиционный портфель;Если собираетесь собрать свой портфель, сперва определитесь с целями, сроками инвестирования, своей терпимостью к риску и никогда не инвестируйте в то, в чем не разбираетесь. А еще не забывайте регулярно пополнять счет и реинвестировать прибыль.
Что такое инвестиционный портфель;Доходность в прошлом не гарантирует доходности в будущем.
Основные показатели финансовой отчетности: почему они так важны;Финансовая отчетность — это специальный документ, с помощью которого инвесторы могут оценивать результаты финансовой деятельности определенной компании. Все публичные компании регулярно выпускают финансовую отчетность.
Основные показатели финансовой отчетности: почему они так важны;Инвесторы регулярно анализируют финансовую отчетность разных компаний, чтобы вкладывать средства в перспективные ценные бумаги и увеличивать потенциальную прибыль.
Основные показатели финансовой отчетности: почему они так важны;Выручка — это все доходы, которые получила компания от продажи продукции.
Основные показатели финансовой отчетности: почему они так важны;Чистая прибыль — это совокупные доходы компании за вычетом совокупных расходов. В чистую прибыль включаются дополнительные доходы. Поэтому она менее объективна в сравнении с операционной прибылью.
Основные показатели финансовой отчетности: почему они так важны;Операционная прибыль — это прибыль только от основной деятельности предприятия. Операционная прибыль помогает инвесторам оценить устойчивость бизнеса и понять, насколько эффективно совет директоров управляет компанией.
Все о дивидендах: полный гайд для инвестора;Дивиденды — это та часть прибыли, которой компания делится с акционерами.
Все о дивидендах: полный гайд для инвестора;Не все компании выплачивают дивиденды: некоторые направляют прибыль на другие цели.
Все о дивидендах: полный гайд для инвестора;Размер дивидендов и частота их выплат определяются самой компанией. Эти данные можно узнать, ознакомившись с дивидендной политикой.
Все о дивидендах: полный гайд для инвестора;Чтобы попасть под дивиденды, нужно купить акции как минимум за один день до даты закрытия реестра в случае российских акций и за два дня в случае иностранных акций.
Как платить налог на доход с акций иностранных компаний;В России ставка налога на доход от продажи иностранных акций составляет 13% или 15% при превышении дохода в 5 млн рублей. Если между Россией и иностранным государством вступило в силу соглашение об избежании двойного налогообложения, налог в России уменьшается на сумму налога, уплаченного в иностранном государстве.
Как платить налог на доход с акций иностранных компаний;Чтобы уменьшить налог от продажи иностранных акций, можно получить вычет при переносе убытков прошлых лет, использовать ИИС или хранить акции дольше трех лет с 1 января 2014 года.
Как платить налог на доход с акций иностранных компаний;Необходимо сообщить налоговой о дивидендах по иностранным ценным бумагам с помощью декларации 3-НДФЛ. Заполнить документ удобно в личном кабинете на сайте налоговой службы.
Акции стоимости или акции роста: во что лучше вкладывать;Акции компаний роста — ценные бумаги эмитентов, выручка которых растет ежегодно выше рыночной. Они обладают существенным потенциалом для роста в будущем.
Акции стоимости или акции роста: во что лучше вкладывать;Акции компаний стоимости — ценные бумаги эмитентов, выручка которых стабильна, а бизнес находится на плато. Как правило, их котировки не имеют потенциала для стремительного роста, но сами компании выплачивают дивиденды и проводят байбэки.
Акции стоимости или акции роста: во что лучше вкладывать;Главное для инвестора — диверсификация. Набор из разных активов поможет снизить риски инвестирования.
Топ самых доступных акций на российском рынке;Действия эмитента влияют на цену акций, но полного контроля над ней он не имеет.
Топ самых доступных акций на российском рынке;Нельзя определить величину и успешность компании, зная только цену ее акций.
Топ самых доступных акций на российском рынке;Начать инвестиции можно с небольших сумм: даже некоторые популярные акции стоят меньше рубля.
Топ самых доступных акций на российском рынке;Ценные бумаги на фондовом рынке торгуются лотами — «порциями», размер которых определяет биржа. Из-за низкой ликвидности покупка неполного лота — это не всегда лучший выбор.
Что такое котировки акций на бирже и для чего они нужны;Котировка — это цена финансового актива, которая формируется из цен спроса и предложения на бирже. Заявки на покупку и продажу формируют биржевой стакан, в середине которого располагаются наиболее выгодные предложения. Они и формируют текущую котировку.
Что такое котировки акций на бирже и для чего они нужны;Термин «котировка» используется при определении цен биржевых товаров: акций, облигаций, сырья и т. д.
Как платить налог с дивидендов: инструкция для инвестора;Дивидендный доход всегда облагается налогом. По российским дивидендам налог удерживает депозитарий.
Как платить налог с дивидендов: инструкция для инвестора;Если инвестор владеет ценными бумагами зарубежных компаний, ему необходимо самостоятельно подавать декларацию, а в некоторых случаях доплачивать сумму налога в пользу РФ.
Как платить налог с дивидендов: инструкция для инвестора;Для подачи декларации, в которой будет указан доход по дивидендам США, нужна справка по форме 1042-S. Она содержит информацию о полученных доходах по ценным бумагам только США.
Как устроено налогообложение по дивидендам американских ценных бумаг;Сейчас американское правительство начало пересмотр соглашения FATCA с рядом крупных финансовых институтов. В частности, с депозитарием сервиса Газпромбанк Инвестиции, который находится в статусе ожидания положительного решения со стороны США.
Как устроено налогообложение по дивидендам американских ценных бумаг;В данный момент ряд брокеров не может передать эти данные из-за ограничений. Поэтому их клиенты могут понести штраф в размере 30%. Его взимают налоговые органы США, так как не могут проверить, не нарушает ли владелец ценных бумаг законодательство страны.
Дивиденды vs. право голоса: какие права есть у акционеров;Инвестор становится акционером акционерного общества, когда покупает акцию любого вида.
Дивиденды vs. право голоса: какие права есть у акционеров;Держатель обыкновенных акций может принимать участие в собрании акционеров, а владелец привилегированных — получать дивиденды в первую очередь.
Дивиденды vs. право голоса: какие права есть у акционеров;Есть разные виды привилегированных акций — каждый из них дает инвестору возможности, которых нет у других акционеров общества.
Мажоритарии: кто это и как они влияют на компанию;В зависимости от размера пакета акций акционеры могут считаться мажоритарными или миноритарными.
Мажоритарии: кто это и как они влияют на компанию;Чем больше у владельца процент акций, тем большее влияние он может оказывать на компанию.
Мажоритарии: кто это и как они влияют на компанию;Благодаря влиянию на финансовое положение фирмы крупные акционеры проводят те решения, которые они считают наиболее полезными и правильными для бизнеса.
Мажоритарии: кто это и как они влияют на компанию;Мажоритарный акционер должен возместить убытки остальным акционерам, если выкупная цена акции в процессе принудительного выкупа была определена неверно.
Делистинг акций на бирже: что это и какие последствия несет для инвестора;Делистинг — это процесс, при котором биржа исключает бумагу из списка инструментов, допущенных к торгам. В том числе исключает их из котировального списка.
Делистинг акций на бирже: что это и какие последствия несет для инвестора;Делистинг бывает принудительным и добровольным. Принудительный инициирует биржа, а добровольный — компания-эмитент.
Делистинг акций на бирже: что это и какие последствия несет для инвестора;В зависимости от причины делистинга у инвестора есть возможности вернуть вложения полностью или частично.
Делистинг акций на бирже: что это и какие последствия несет для инвестора;Страховкой от делистинга являются сделки с бумагами стабильных компаний первого и второго уровней листингового списка. Также важно проводить диверсификацию портфеля по разным активам разных эмитентов.
Цвет надежности: что такое «голубые фишки»;Голубые фишки — это акции наиболее крупных и ликвидных компаний на рынке. Эти компании считаются наиболее стабильными на рынке.
Цвет надежности: что такое «голубые фишки»;В мире не существует какого-то постоянного и официального реестра голубых фишек. Список компаний ежеквартально определяют биржи, они же рассчитывают фондовые индексы.
Цвет надежности: что такое «голубые фишки»;Голубые фишки можно использовать в долгосрочной инвестиционной стратегии, но не стоит забывать о диверсификации: выбирайте активы из разных стран и отраслей экономики.
Привилегированные акции: что это такое;Обыкновенные и привилегированные акции являются долевыми ценными бумагами, которые обладают разными свойствами.
Привилегированные акции: что это такое;Привилегированные акции позволяют получать фиксированные дивиденды, а их котировки меньше подвержены изменениям ввиду низкой ликвидности по сравнению с обыкновенными акциями.
Привилегированные акции: что это такое;Привилегированные акции не дают права голоса держателям, за исключением вопросов, связанных с доходностью этих акций.
Привилегированные акции: что это такое;Существует несколько классов привилегированных акций, которые обладают разными свойствами и могут давать особые права держателям. Основные виды — это кумулятивные и конвертируемые.
Привилегированные акции: что это такое;Привилегированные акции подходят для долгосрочного инвестирования с целью получения фиксированного дохода в виде дивидендов.
Индекс Мосбиржи: какие акции в него входят и для чего он нужен;Индекс Мосбиржи — это важнейший индикатор изменений состояния крупнейших российских компаний из разных отраслей экономики. Это позволяет инвесторам, управляющим компаниям и инвестиционным фондам оценивать общее экономическое состояние рынка и предполагать его последующее развитие.
Индекс Мосбиржи: какие акции в него входят и для чего он нужен;Чтобы акции попали в состав индекса, они должны быть в котировальном списке, торговаться на бирже почти каждый день и быть ликвидными. Их эмитенты должны публиковать финансовую отчетность по международным стандартам с задержкой не более восьми месяцев.
Индекс Мосбиржи: какие акции в него входят и для чего он нужен;Нельзя купить сам индекс — можно только повторить его, купив пай инвестиционного фонда, который воспроизводит его состав, фьючерсы на индекс или акции компаний, входящих в его базу расчета.
Что такое дополнительная эмиссия акций;Дополнительная эмиссия акций — это размещение дополнительных акций компанией вдобавок к уже существующим. Продажа новых акций инвесторам приводит к увеличению уставного капитала эмитента. В результате допэмиссии также происходит увеличение общего количества ценных бумаг в обращении, что приводит к размыванию пакетов акций у их держателей и снижению стоимости активов.
Что такое дополнительная эмиссия акций;Целями допэмиссии могут быть получение невозвратных денег от инвесторов, укрепление положения существующих акционеров или увеличение уставного капитала компании до необходимых размеров.
Что такое дополнительная эмиссия акций;Дополнительный выпуск акций оказывает, как правило, негативное влияние на миноритарных инвесторов, снижая стоимость их активов. Для понимания того, стоит ли избавляться от ценных бумаг проводящей допэмиссию компании, необходимо учитывать цели, которые преследует эмитент, проводя размещение новых акций.
Почему акции продаются лотами;Размер лота устанавливает биржа, а не брокер, компания, инвестор или кто-либо еще.
Почему акции продаются лотами;Биржи допускают проведение сделок неполными лотами, но это может оказаться невыгодно для инвестора.
Почему акции продаются лотами;Размер лота важно узнать до проведения сделки, чтобы не терять на комиссиях и не уйти в минус.
Почему акции продаются лотами;Дивиденды рассчитываются на каждую акцию, которая входит в лот. Если в лот входит 1000 акций, акционер получит выплату по каждой из них.
Что такое байбэк акций на бирже;Байбэк — это выкуп акций компаниями с рынка, который осуществляется с целью избавиться от избытка наличных средств, повысить стоимость собственных акций, избежать смены собственника, упрочить позиции крупных акционеров или дополнительно мотивировать сотрудников.
Что такое байбэк акций на бирже;Байбэк осуществляется с открытого рынка или напрямую у акционеров.
Что такое байбэк акций на бирже;Обратный выкуп акций зачастую выгоден для инвесторов, поскольку позволяет заработать на повышении стоимости ценных бумаг.
Дивидендная политика: что это такое и как ее использовать в инвестиционной стратегии;Дивиденды — это часть чистой прибыли компании-эмитента, которую она распределяет среди своих акционеров.
Дивидендная политика: что это такое и как ее использовать в инвестиционной стратегии;Дивидендная политика компании — это правила, на основании которых часть прибыли распределяется между акционерами в виде дивидендов. В ней содержится информация о частоте и форме выплат, а также о проценте от прибыли, которым она готова делиться с акционерами. Ее утверждает совет директоров.
Дивидендная политика: что это такое и как ее использовать в инвестиционной стратегии;Когда инвестор заинтересован в пассивном доходе с дивидендов, при выборе компании он должен внимательно ознакомиться с ее дивидендной политикой и дивидендной историей.
Индекс РТС: что это такое и его значение для инвестора;Индекс РТС — это биржевой индикатор состояния российского рынка в долларах США, который рассчитывается и публикуется каждые 15 секунд.
Индекс РТС: что это такое и его значение для инвестора;В индекс РТС можно инвестировать через ETF, БПИФ, фьючерсы или самостоятельную покупку акций компаний индекса.
Индекс РТС: что это такое и его значение для инвестора;Более 70% веса индекса РТС — это десять крупных российских компаний. Самый большой удельный вес у компаний нефтегазового сектора — 45%.
Акции и депозитарные расписки российских эмитентов: базовые знания для совершения сделок;Акция — это доля компании, которую инвестор может купить на бирже. Депозитарная расписка удостоверяет право инвестора на определенное количество ценных бумаг компании, торгующихся на иностранной бирже.
Акции и депозитарные расписки российских эмитентов: базовые знания для совершения сделок;Цены акций, не включенных в котировальные списки, обычно более волатильны, чем бумаги из первого и второго эшелона.
Акции и депозитарные расписки российских эмитентов: базовые знания для совершения сделок;Акции из третьего эшелона в основном менее ликвидны, а сделки по ним совершаются реже, чем в случае бумаг, которые включены в котировальный список.
Акции и депозитарные расписки российских эмитентов: базовые знания для совершения сделок;Компания может обанкротиться, котировки — упасть, а акция — выйти из котировального списка, а затем и пройти процедуру делистинга.
